FEATURE IMPORTANCE - XGBoost
Dataset: Completo | Clustering: Sim
====================================================================================================
Posição  Feature                                            Importância     % Total    % Acumulado 
107      taxa_freq_25_29                                    0.003944        0.3944     70.3861     
108      taxa_freq_6_17                                     0.003884        0.3884     70.7745     
109      populacao_mulheres_55_59                           0.003867        0.3867     71.1612     
110      prop_ocupados_superior                             0.003836        0.3836     71.5448     
111      taxa_ocupados_setor_publico                        0.003829        0.3829     71.9277     
112      taxa_agua_encanada                                 0.003823        0.3823     72.3100     
113      populacao_mulheres_35_39                           0.003803        0.3803     72.6903     
114      idhm_r                                             0.003801        0.3801     73.0705     
115      populacao_homens_80_mais                           0.003747        0.3747     73.4452     
116      taxa_criancas_dom_sem_fund                         0.003738        0.3738     73.8190     
117      populacao_homens_65_69                             0.003696        0.3696     74.1886     
118      taxa_dom_vulner_dep_idoso                          0.003683        0.3683     74.5568     
119      populacao_mulheres_5_9                             0.003666        0.3666     74.9234     
120      taxa_freq_4_6                                      0.003654        0.3654     75.2888     
121      taxa_freq_0_3                                      0.003652        0.3652     75.6540     
122      populacao_homens_30_34                             0.003638        0.3638     76.0178     
123      taxa_mulheres_com_filho_15_17                      0.003615        0.3615     76.3792     
124      taxa_fundamental_12_14                             0.003598        0.3598     76.7391     
125      taxa_atraso_1_basico                               0.003592        0.3592     77.0982     
126      populacao_homens_60_64                             0.003591        0.3591     77.4573     
127      pea_15_17                                          0.003578        0.3578     77.8151     
128      taxa_fundamental_18_mais                           0.003546        0.3546     78.1697     
129      populacao_homens_50_54                             0.003545        0.3545     78.5242     
130      taxa_freq_fundamental_15_17                        0.003513        0.3513     78.8756     
131      populacao_mulheres_30_34                           0.003512        0.3512     79.2268     
132      taxa_fundamental_11_13                             0.003508        0.3508     79.5776     
133      taxa_freq_liquida_basico                           0.003471        0.3471     79.9247     
134      populacao_mulheres_0_4                             0.003465        0.3465     80.2712     
135      renda_pc_decil_10                                  0.003461        0.3461     80.6173     
136      prop_ocupados_renda_1_sm                           0.003458        0.3458     80.9631     
137      fecundidade_total                                  0.003446        0.3446     81.3077     
138      taxa_freq_fundamental_4_5                          0.003445        0.3445     81.6522     
139      taxa_freq_liquida_medio                            0.003439        0.3439     81.9961     
140      taxa_freq_15_17                                    0.003435        0.3435     82.3396     
141      populacao_mulheres_20_24                           0.003428        0.3428     82.6824     
142      populacao_homens_40_44                             0.003417        0.3417     83.0241     
143      populacao_homens_45_49                             0.003406        0.3406     83.3647     
144      taxa_medio_19_21                                   0.003399        0.3399     83.7047     
145      taxa_freq_5_6                                      0.003348        0.3348     84.0395     
146      prob_sobrevivencia_60                              0.003339        0.3339     84.3734     
147      prop_pobreza                                       0.003277        0.3277     84.7011     
148      prop_trabalhadores_conta_proria                    0.003269        0.3269     85.0279     
149      pnea                                               0.003250        0.3250     85.3529     
150      taxa_atraso_0_fundamental                          0.003241        0.3241     85.6770     
151      prop_ocupados_servicos                             0.003222        0.3222     85.9992     
152      taxa_atraso_1_medio                                0.003205        0.3205     86.3197     
153      taxa_agua_esgoto_inadequados                       0.003203        0.3203     86.6400     
154      taxa_mulheres_com_filho_10_14                      0.003196        0.3196     86.9596     
155      prop_ocupados_comercio                             0.003190        0.3190     87.2786     
156      prop_ocupados_transformacao                        0.003183        0.3183     87.5969     
157      taxa_freq_bruta_medio                              0.003154        0.3154     87.9123     
158      taxa_freq_medio_6_14                               0.003150        0.3150     88.2273     
159      expectativa_anos_estudo                            0.003140        0.3140     88.5413     
160      populacao_mulheres_60_64                           0.003113        0.3113     88.8526     
161      prop_ocupados_construcao                           0.003105        0.3105     89.1630     
162      taxa_freq_medio_18_24                              0.003092        0.3092     89.4722     
163      prop_renda_40_pobres                               0.003078        0.3078     89.7800     
164      taxa_medio_18_20                                   0.003077        0.3077     90.0877     
165      populacao_dom_pp                                   0.003064        0.3064     90.3941     
166      taxa_freq_6                                        0.003020        0.3020     90.6962     
167      prop_renda_20_ricos                                0.003017        0.3017     90.9979     
168      taxa_superior_25_mais                              0.002999        0.2999     91.2978     
169      prop_renda_80_pobres                               0.002992        0.2992     91.5971     
170      renda_pc_exc_renda_nula                            0.002948        0.2948     91.8919     
171      pnea_10_14                                         0.002945        0.2945     92.1864     
172      indice_frequencia_escolar                          0.002926        0.2926     92.4790     
173      renda_media_ocupados                               0.002895        0.2895     92.7685     
174      taxa_freq_18_24                                    0.002858        0.2858     93.0543     
175      taxa_desocupacao_15_17                             0.002834        0.2834     93.3377     
176      mortalidade_1                                      0.002832        0.2832     93.6209     
177      taxa_desocupacao_18_mais                           0.002776        0.2776     93.8985     
178      prop_empregadores                                  0.002749        0.2749     94.1734     
179      taxa_dom_vulner_sem_fund                           0.002706        0.2706     94.4440     
180      taxa_fundamental_18_24                             0.002634        0.2634     94.7074     
181      prop_ocupados_siup                                 0.002609        0.2609     94.9683     
182      mortalidade_5                                      0.002607        0.2607     95.2290     
183      populacao_rural                                    0.002600        0.2600     95.4890     
184      populacao_urbana                                   0.002569        0.2569     95.7458     
185      taxa_desocupacao                                   0.002565        0.2565     96.0024     
186      pnea_15_17                                         0.002526        0.2526     96.2549     
187      taxa_paredes_inadequados                           0.002517        0.2517     96.5066     
188      populacao_homens_0_4                               0.002441        0.2441     96.7507     
189      taxa_desocupacao_18_24                             0.002424        0.2424     96.9932     
190      populacao_dom_pp_exc_renda_nula                    0.002415        0.2415     97.2347     
191      populacao_homens_5_9                               0.002366        0.2366     97.4713     
192      renda_pc_vulner_pobreza                            0.002344        0.2344     97.7056     
193      prop_ocupados_formalizacao                         0.002294        0.2294     97.9350     
194      taxa_desocupacao_25_29                             0.002255        0.2255     98.1605     
195      prop_renda_10_ricos                                0.002193        0.2193     98.3798     
196      idhm_e                                             0.002118        0.2118     98.5916     
197      prop_renda_20_pobres                               0.002080        0.2080     98.7996     
198      expectativa_vida                                   0.002073        0.2073     99.0069     
199      renda_pc                                           0.002065        0.2065     99.2133     
200      prop_vulner_pobreza_criancas                       0.001885        0.1885     99.4019     
201      prop_ocupados_renda_3_sm                           0.001633        0.1633     99.5652     
202      taxa_coleta_lixo                                   0.001600        0.1600     99.7252     
203      taxa_analfabetismo_25_mais                         0.001437        0.1437     99.8689     
204      taxa_sem_energia_eletrica                          0.001310        0.1310     100.0000    
205      Cluster                                            0.000000        0.0000     100.0000    
206      renda_pc_max_quintil_3                             0.000000        0.0000     100.0000    
207      razao_10_ricos_40_pobres                           0.000000        0.0000     100.0000    
208      prop_renda_60_pobres                               0.000000        0.0000     100.0000    
