FEATURE IMPORTANCE - Random Forest
Dataset: Completo | Clustering: Não
====================================================================================================
Posição  Feature                                            Importância     % Total    % Acumulado 
57       renda_pc_quintil_1                                 0.004361        0.4361     64.7873     
58       prop_ocupados_servicos                             0.004292        0.4292     65.2165     
59       taxa_freq_liquida_basico                           0.004286        0.4286     65.6452     
60       taxa_analfabetismo_11_a_14                         0.004285        0.4285     66.0737     
61       populacao_mulheres_50_54                           0.004216        0.4216     66.4952     
62       prob_sobrevivencia_60                              0.004182        0.4182     66.9134     
63       prop_ocupados_comercio                             0.004175        0.4175     67.3309     
64       prop_ocupados_transformacao                        0.004155        0.4155     67.7465     
65       taxa_fundamental_12_14                             0.004091        0.4091     68.1555     
66       taxa_fundamental_18_mais                           0.004077        0.4077     68.5633     
67       taxa_mulheres_com_filho_10_14                      0.003991        0.3991     68.9624     
68       populacao_mulheres_60_64                           0.003986        0.3986     69.3610     
69       expectativa_anos_estudo                            0.003934        0.3934     69.7544     
70       prop_ocupados_renda_0                              0.003928        0.3928     70.1473     
71       prop_ocupados_construcao                           0.003908        0.3908     70.5381     
72       taxa_dom_sem_fund                                  0.003906        0.3906     70.9286     
73       taxa_desocupacao_15_17                             0.003890        0.3890     71.3176     
74       pnea_10_14                                         0.003862        0.3862     71.7038     
75       taxa_desocupacao_25_29                             0.003840        0.3840     72.0878     
76       taxa_mulheres_com_filho_15_17                      0.003824        0.3824     72.4702     
77       taxa_freq_medio_6_14                               0.003803        0.3803     72.8506     
78       taxa_ocupados_sem_carteira                         0.003748        0.3748     73.2254     
79       taxa_freq_liquida_medio                            0.003687        0.3687     73.5942     
80       prop_empregadores                                  0.003647        0.3647     73.9589     
81       renda_pc_pobreza_extrema                           0.003551        0.3551     74.3140     
82       populacao_homens_35_39                             0.003513        0.3513     74.6653     
83       pea_10_14                                          0.003482        0.3482     75.0135     
84       renda_pc_decil_10                                  0.003460        0.3460     75.3595     
85       populacao_mulheres_80_mais                         0.003421        0.3421     75.7016     
86       populacao_homens_45_49                             0.003416        0.3416     76.0432     
87       taxa_freq_liquida_fundamental                      0.003324        0.3324     76.3756     
88       prop_ocupados_siup                                 0.003316        0.3316     76.7072     
89       populacao_mulheres_15_19                           0.003311        0.3311     77.0383     
90       taxa_paredes_inadequados                           0.003282        0.3282     77.3665     
91       taxa_superior_25_mais                              0.003177        0.3177     77.6842     
92       prop_ocupados_formalizacao                         0.003141        0.3141     77.9982     
93       taxa_medio_19_21                                   0.003081        0.3081     78.3063     
94       taxa_freq_18_24                                    0.003062        0.3062     78.6124     
95       taxa_freq_medio_18_24                              0.003015        0.3015     78.9139     
96       populacao_homens_15_19                             0.002999        0.2999     79.2138     
97       taxa_freq_6_17                                     0.002973        0.2973     79.5112     
98       taxa_freq_liquida_superior                         0.002889        0.2889     79.8000     
99       prop_pobreza_extrema_criancas                      0.002874        0.2874     80.0874     
100      taxa_vulner_desloc_1_hora                          0.002868        0.2868     80.3742     
101      taxa_freq_superior_15_17                           0.002866        0.2866     80.6608     
102      taxa_atividade_25_29                               0.002835        0.2835     80.9443     
103      taxa_fundamental_25_mais                           0.002707        0.2707     81.2150     
104      taxa_dom_vulner_dep_idoso                          0.002699        0.2699     81.4850     
105      prop_ocupados_renda_1_sm                           0.002672        0.2672     81.7521     
106      prop_trabalhadores_conta_proria                    0.002671        0.2671     82.0192     
107      taxa_analfabetismo_18_mais                         0.002663        0.2663     82.2856     
108      populacao_mulheres_0_4                             0.002662        0.2662     82.5518     
109      prop_ocupados_renda_5_sm                           0.002657        0.2657     82.8174     
110      razao_dependencia                                  0.002626        0.2626     83.0800     
111      pea                                                0.002552        0.2552     83.3353     
112      taxa_freq_6_14                                     0.002532        0.2532     83.5885     
113      expectativa_vida                                   0.002530        0.2530     83.8415     
114      taxa_analfabetismo_25_a_29                         0.002508        0.2508     84.0922     
115      taxa_freq_15_17                                    0.002447        0.2447     84.3370     
116      taxa_agua_encanada                                 0.002442        0.2442     84.5812     
117      taxa_atraso_1_medio                                0.002433        0.2433     84.8245     
118      taxa_freq_bruta_basico                             0.002425        0.2425     85.0670     
119      taxa_atraso_0_medio                                0.002424        0.2424     85.3094     
120      taxa_freq_11_14                                    0.002423        0.2423     85.5517     
121      renda_pc                                           0.002422        0.2422     85.7939     
122      renda_pc_pobreza                                   0.002401        0.2401     86.0340     
123      renda_pc_exc_renda_nula                            0.002400        0.2400     86.2741     
124      pnea_18_mais                                       0.002386        0.2386     86.5127     
125      populacao_homens                                   0.002374        0.2374     86.7501     
126      taxa_freq_6                                        0.002364        0.2364     86.9865     
127      taxa_medio_18_20                                   0.002339        0.2339     87.2205     
128      indice_treil_trabalho                              0.002339        0.2339     87.4543     
129      taxa_freq_fundamental_15_17                        0.002331        0.2331     87.6875     
130      populacao_homens_55_59                             0.002329        0.2329     87.9204     
131      prop_ocupados_renda_3_sm                           0.002328        0.2328     88.1532     
132      prop_pobreza_extrema                               0.002297        0.2297     88.3829     
133      prop_renda_10_ricos                                0.002273        0.2273     88.6101     
134      taxa_nest_ntrab_vulner_15_24                       0.002262        0.2262     88.8363     
135      taxa_energia_eletrica                              0.002251        0.2251     89.0615     
136      taxa_fundamental_16_18                             0.002236        0.2236     89.2851     
137      fecundidade_total                                  0.002188        0.2188     89.5039     
138      taxa_desocupacao_10_14                             0.002167        0.2167     89.7206     
139      renda_pc_vulner_pobreza                            0.002126        0.2126     89.9332     
140      taxa_medio_25_mais                                 0.002097        0.2097     90.1429     
141      taxa_analfabetismo_15_mais                         0.002096        0.2096     90.3525     
142      populacao_mulheres_5_9                             0.002092        0.2092     90.5617     
143      taxa_freq_bruta_superior                           0.002089        0.2089     90.7707     
144      renda_media_ocupados                               0.002087        0.2087     90.9793     
145      prop_renda_20_pobres                               0.002080        0.2080     91.1873     
146      populacao_dom_pp_exc_renda_nula                    0.002075        0.2075     91.3948     
147      renda_pc_quintil_3                                 0.002075        0.2075     91.6023     
148      populacao_homens_5_9                               0.002075        0.2075     91.8098     
149      taxa_criancas_dom_sem_fund                         0.002036        0.2036     92.0134     
150      taxa_sem_energia_eletrica                          0.001997        0.1997     92.2131     
151      populacao_mulheres_55_59                           0.001973        0.1973     92.4104     
152      prop_ocupados_fundamental                          0.001971        0.1971     92.6075     
153      taxa_coleta_lixo                                   0.001968        0.1968     92.8043     
154      taxa_criancas_fora_escola_6_14                     0.001965        0.1965     93.0008     
155      mortalidade_5                                      0.001958        0.1958     93.1966     
156      renda_pc_max_quintil_3                             0.001935        0.1935     93.3901     
157      taxa_medio_18_mais                                 0.001915        0.1915     93.5816     
158      pea_15_17                                          0.001910        0.1910     93.7726     
159      taxa_freq_25_29                                    0.001897        0.1897     93.9623     
160      renda_pc_max_quintil_2                             0.001895        0.1895     94.1518     
161      populacao_homens_10_14                             0.001890        0.1890     94.3408     
162      prop_vulner_pobreza_criancas                       0.001886        0.1886     94.5294     
163      taxa_atividade_15_17                               0.001879        0.1879     94.7173     
164      taxa_medio_18_24                                   0.001861        0.1861     94.9033     
165      idhm_l                                             0.001776        0.1776     95.0809     
166      taxa_freq_bruta_medio                              0.001753        0.1753     95.2562     
167      taxa_desocupacao_18_mais                           0.001736        0.1736     95.4298     
168      populacao_mulheres_10_14                           0.001692        0.1692     95.5990     
169      taxa_dom_vulner_sem_fund                           0.001669        0.1669     95.7659     
170      pnea_15_17                                         0.001660        0.1660     95.9320     
171      populacao_homens_0_4                               0.001644        0.1644     96.0964     
172      taxa_desocupacao_18_24                             0.001622        0.1622     96.2585     
173      prop_ocupados_medio                                0.001620        0.1620     96.4205     
174      prop_renda_60_pobres                               0.001619        0.1619     96.5824     
175      taxa_desocupacao                                   0.001613        0.1613     96.7437     
176      renda_pc_max_decil_9                               0.001575        0.1575     96.9012     
177      prop_ocupados_superior                             0.001470        0.1470     97.0481     
178      taxa_atraso_0_basico                               0.001465        0.1465     97.1947     
179      indice_frequencia_escolar                          0.001453        0.1453     97.3400     
180      prop_pobreza_criancas                              0.001435        0.1435     97.4836     
181      prop_vulner_pobreza                                0.001424        0.1424     97.6259     
182      renda_pc_quintil_5                                 0.001416        0.1416     97.7675     
183      populacao_rural                                    0.001356        0.1356     97.9031     
184      taxa_analfabetismo_25_mais                         0.001355        0.1355     98.0386     
185      taxa_atividade_18_mais                             0.001322        0.1322     98.1708     
186      populacao_mulheres                                 0.001302        0.1302     98.3010     
187      taxa_fundamental_18_24                             0.001279        0.1279     98.4289     
188      taxa_fundamental_15_17                             0.001261        0.1261     98.5550     
189      mortalidade_1                                      0.001228        0.1228     98.6778     
190      prop_renda_trabalho                                0.001206        0.1206     98.7985     
191      idhm_r                                             0.001139        0.1139     98.9124     
192      prop_renda_80_pobres                               0.001139        0.1139     99.0263     
193      renda_pc_max_quintil_1                             0.001107        0.1107     99.1371     
194      taxa_atraso_0_fundamental                          0.001071        0.1071     99.2441     
195      populacao_urbana                                   0.000917        0.0917     99.3359     
196      pnea                                               0.000912        0.0912     99.4271     
197      taxa_atividade                                     0.000864        0.0864     99.5135     
198      prop_renda_40_pobres                               0.000828        0.0828     99.5964     
199      indice_theil                                       0.000753        0.0753     99.6716     
200      razao_20_ricos_40_pobres                           0.000631        0.0631     99.7347     
201      idhm_e                                             0.000613        0.0613     99.7960     
202      indice_escolaridade                                0.000517        0.0517     99.8477     
203      renda_pc_quintil_2                                 0.000490        0.0490     99.8967     
204      razao_10_ricos_40_pobres                           0.000357        0.0357     99.9324     
205      prop_renda_20_ricos                                0.000338        0.0338     99.9663     
206      prop_pobreza                                       0.000337        0.0337     100.0000    
207      indice_gini                                        0.000000        0.0000     100.0000    
